ID,Name,Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
12734449,2021 Land Rover Defender 110 P400 X (294KW) L663 MY21,199880,Land Rover,Defender,110 P400 X (294KW),L663 MY21,2021,11320,Wagon,Automatic,Premium Unleaded Petrol, Used,2995,Black,5
12735317,2020 Ram 1500 Express (4X4) MY19,110000,Ram,1500,Express (4X4),MY19,2020,55000,Coach,Automatic,Unleaded Petrol, Used,5654,Granite,5
12735671,2018 Toyota Landcruiser GXL (4X4) VDJ79R,119995,Toyota,Landcruiser,GXL (4X4),VDJ79R,2018,85123,Double Cab Chassis,Manual,Diesel, Used,4461,White,5
12735707,2022 Audi A6 Allroad Quattro 45 TDI 4A MY22,134850,Audi,A6,Allroad Quattro 45 TDI,4A MY22,2022,1590,Wagon,Automatic,Diesel, Demo,2967,Black,5
12735894,2017 Toyota Landcruiser VX (4X4) VDJ200R MY16,125000,Toyota,Landcruiser,VX (4X4),VDJ200R MY16,2017,49000,Wagon,Automatic,Diesel, Used,4461,Graphite,7
12735957,2016 Mercedes-Benz GLS500 4Matic X166,106990,Mercedes-Benz,GLS500,4Matic,X166,2016,46637,Wagon,Automatic,Premium Unleaded Petrol, Used,4663,Black,7
12736003,2016 Bentley Continental GT Speed 3W MY16,269990,Bentley,Continental,GT Speed,3W MY16,2016,42167,Coupe,Automatic,Premium Unleaded Petrol, Used,5998,White,4
12736064,2017 Mercedes-Benz E400 4Matic 238 MY18,105000,Mercedes-Benz,E400,4Matic,238 MY18,2017,15758,Cabriolet,Automatic,Premium Unleaded Petrol, Used,2996,Silver,4
12736210,2022 Mercedes-Benz GLE 300 D 4Matic V167 MY22.5,144500,Mercedes-Benz,GLE,300 D 4Matic,V167 MY22.5,2022,15000,Wagon,Automatic,Diesel, Used,1950,Silver,5
12736373,2006 Porsche 911 Carrera 4 997,134900,Porsche,911,Carrera 4,997,2006,48044,Cabriolet,Manual,Premium Unleaded Petrol, Used,3596,Grey,4
12736381,2022 Volvo XC90 B6 Inscription Mhev 256 MY22,129900,Volvo,XC90,B6 Inscription Mhev,256 MY22,2022,23,Wagon,Automatic,Premium Unleaded/Electric, Demo,1969,Grey,7
12736620,2021 Mercedes-Benz A45 S 4Matic+ W177 MY22,102900,Mercedes-Benz,A45,S 4Matic+,W177 MY22,2021,6433,Hatchback,Automatic,Premium Unleaded Petrol, Used,1991,Grey,5
12737070,2019 Mercedes-Benz GLE400 D 4Matic V167 MY19,129000,Mercedes-Benz,GLE400,D 4Matic,V167 MY19,2019,45600,Wagon,Automatic,Diesel, Used,2925,White,5
